site;src;index;date;temp;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;16,15;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;16,52;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;16,26;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;16,74;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;17,16;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;17,39;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;16,68;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;15,18;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;16,48;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;16,68;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;16,24;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;16,60;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;16,18;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;14,73;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;15,41;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;16,61;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;NA;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;18,16;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;13,80;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;15,97;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;16,47;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;17,00;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;16,68;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;16,18;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;16,08;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;16,16;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;NA;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;NA;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;15,67;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;NA;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;NA;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;17,25;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;NA;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;NA;;;;;;;
Knysna;SAWS;Knysna/ SAWS;May;15,00;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;15,83;15,20818182;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;15,80;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;13,47;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;16,12;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;14,07;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;16,40;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;15,66;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;14,47;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;16,10;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;14,62;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;16,66;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;15,12;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;15,57;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;15,68;;;;;;;
Knysna;SAWS;Knysna/ SAWS;June;16,37;;;;;;;
