Station_ID;Re_hi;An_de;An_mi;Hi_pl;An_lu;Me_ae;Ra_ra;Mi_po;Ar_at;No_rk;Lu_la;Ma_vi;Bo_sa;Cy_lu;Cl_ha;Se_me;Le_de;Ga_mo;Le_ma;Se_ma;Tr_es;Ly_pa;Ly_eu;Ly_re;Ly_se;Ly_es;Ly_va;Be_gl;Ca_re;Tr_spp;ID_sum
449;9;0;0;61;0;12;0;0;0;5;0;9;0;0;0;635;0;35;0;0;0;0;0;0;0;0;4;0;0;0;770
450;2;0;1;69;0;2;5;4;0;26;0;2;0;0;0;1060;0;54;0;0;0;0;0;0;0;0;2;0;0;0;1227
451;9;2;0;90;0;0;2;2;0;16;0;5;0;0;0;411;0;20;0;0;0;0;0;0;0;0;0;0;0;0;557
453;2;3;2;73;0;0;2;0;2;0;0;6;0;0;0;93;0;311;0;2;0;0;1;0;0;0;6;0;3;3;509
454;10;3;0;187;0;1;3;0;1;2;0;4;0;0;0;124;3;32;0;0;0;0;0;0;0;1;0;0;0;0;371
455;12;2;0;289;0;0;3;0;0;0;0;0;0;0;0;313;0;46;0;0;0;0;0;0;0;0;0;0;0;0;665
456;2;3;0;91;0;1;2;0;7;0;0;1;0;0;0;127;1;130;0;0;0;0;0;0;0;0;0;0;1;0;366
457;0;1;2;198;0;4;6;0;9;0;0;1;1;0;0;31;0;137;0;8;1;0;0;0;0;0;1;0;0;0;400
458;0;0;1;161;2;2;3;0;0;0;0;0;0;0;0;0;0;121;0;21;0;0;0;0;0;0;1;0;0;0;312
459;0;1;0;103;3;4;4;2;1;0;0;0;0;1;0;0;0;21;0;24;0;0;0;0;0;0;0;0;0;0;164
460;1;1;0;78;0;2;1;5;0;0;0;12;0;0;0;368;0;48;0;0;0;0;0;0;0;0;2;0;0;0;518
461;2;1;0;65;0;0;2;1;0;3;0;6;0;0;0;368;0;0;0;3;0;0;0;0;0;0;3;0;1;0;455
462;0;0;0;10;2;50;0;0;0;0;0;0;0;0;0;0;0;30;0;30;110;0;0;0;0;0;0;0;0;0;232
465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;36
